CO.Cliente;MUN;LAT;LONG
2301;VALINHOS;2295188;4702779
2302;CAMPINAS;2289429;4705822
2303;CAMPINAS;2292634;4703974
2304;CAMPINAS;2283309;4707943
2305;CAMPINAS;2282307;4707818
2306;VALINHOS;2297509;4701478
2307;CAMPINAS;2294956;4709268
2308;CAMPINAS;2288062;4696944
2309;AMERICANA;2272237;473074
2310;SAO PAULO;2347084;4664965
2311;PIRACICABA;2274145;4760181
2312;JACAREI;2331105;4598107
2313;SAO JOSE DOS CAMPOS;2322299;4590595
2314;SAO JOSE DOS CAMPOS;2322869;4590797
2315;SAO JOSE DOS CAMPOS;232374;458966
2316;SAO JOSE DOS CAMPOS;2324187;45905
2317;SJC;2322836;4591124
2318;SAO JOSE DOS CAMPOS;2317422;4581629
2319;SP;2351672;466704
2320;SP;2355224;4674232
2321;SP;2354149;467306
2322;SAO PAULO;2353466;4671295
2323;SAO PAULO;2359032;4673951
2324;SAO PAULO;2359551;4673765
2325;;2360962;4675296
2326;COTIA;2358915;468169
2327;SAO PAULO;2361184;4674081
2328;SAO PAULO;236705;4664785
2329;;2367408;4657141
2330;MAUA;2366289;4648223
2331;OSASCO;2355164;4679466
2332;;2348552;4673883
2333;SAO PAULO;2346722;4658475
2334;SANTANA DE PARNAIBA;2346668;4684622
2335;;2346236;4687601
2336;SAO CARLOS;220445;4788998
2337;SAO CARLOS;2202384;4788021
2338;SAO CARLOS;2203848;4786018
2339;TAUBATE;2301733;4555106
2340;TBT;2299756;4554006
2341;CACAPAVA;2307223;4571227
2342;CACAPAVA;2311919;4571347
2343;;2295467;4549489
2344;SOROCABA;2346587;4749623
2345;SOROCABA;2349563;4751121
2346;SOROCABA;2348649;4747117
2347;RIBEIRAO PRETO;2119498;4775589
2348;RIBEIRAO PRETO;2114118;4780482
2349;RIBEIRAO PRETO;2117516;4779455
2350;BAURU;223121;4905746
2351;BAURU;2231628;4906815
